date,region,category,manager,revenue,quantity,discount_amount,status,returns,week_start,is_return_or_cancel,is_application,is_sale
2026-05-07,Сибирь,ТВ,Иванов,0.0,2,9497.76,cancel,1,2026-05-04,1,1,0
2026-04-30,Юг,Ноутбуки,Иванов,68027.55,1,7347.74,completed,0,2026-04-27,0,1,1
2026-04-29,Юг,Бытовая техника,Иванов,60534.35,1,1354.74,return,1,2026-04-27,1,1,0
2026-05-01,Москва,Ноутбуки,Иванов,0.0,3,13077.45,cancel,1,2026-04-27,1,1,0
2026-05-29,Юг,Планшеты,Иванов,29784.16,3,3669.8,completed,0,2026-05-25,0,1,1
2026-04-22,Сибирь,Планшеты,Иванов,80522.27,2,1063.62,completed,0,2026-04-20,0,1,1
2026-06-30,Сибирь,Планшеты,Иванов,40823.03,3,5323.53,completed,0,2026-06-29,0,1,1
2026-05-07,Сибирь,Смартфоны,Иванов,106059.05,3,9686.45,return,1,2026-05-04,1,1,0
2026-04-21,Урал,Планшеты,Иванов,86044.59,3,5265.81,completed,0,2026-04-20,0,1,1
2026-04-29,Москва,Наушники,Иванов,119094.09,3,14865.5,completed,0,2026-04-27,0,1,1
2026-06-09,Москва,Планшеты,Иванов,105068.81,1,9947.3,return,1,2026-06-08,1,1,0
2026-04-17,Москва,Наушники,Иванов,119698.83,3,12638.24,completed,0,2026-04-13,0,1,1
2026-05-20,Урал,Смартфоны,Иванов,54910.39,2,6557.48,completed,0,2026-05-18,0,1,1
2026-05-18,Сибирь,Наушники,Иванов,26308.39,1,1504.96,completed,0,2026-05-18,0,1,1
2026-04-14,Юг,Ноутбуки,Иванов,0.0,3,5113.27,cancel,1,2026-04-13,1,1,0
2026-05-20,Москва,Ноутбуки,Иванов,78961.02,1,3604.94,completed,0,2026-05-18,0,1,1
2026-05-30,СПб,Наушники,Иванов,0.0,2,4805.58,cancel,1,2026-05-25,1,1,0
2026-06-26,Москва,Ноутбуки,Иванов,80343.74,2,9520.55,completed,0,2026-06-22,0,1,1
2026-06-28,СПб,Планшеты,Иванов,55884.63,3,6565.55,completed,0,2026-06-22,0,1,1
2026-04-11,Сибирь,Смартфоны,Иванов,60361.46,2,5507.66,completed,0,2026-04-06,0,1,1
