date,region,category,manager,revenue,quantity,discount_amount,status,returns,week_start,is_return_or_cancel,is_application,is_sale
2026-04-05,Москва,ТВ,Козлов,100195.53,1,11279.16,completed,0,2026-03-30,0,1,1
2026-04-19,СПб,Бытовая техника,Козлов,67955.62,3,7256.05,return,1,2026-04-13,1,1,0
2026-04-13,Москва,ТВ,Козлов,24570.55,1,3029.98,completed,0,2026-04-13,0,1,1
2026-05-07,Юг,Наушники,Козлов,24234.23,1,1708.55,completed,0,2026-05-04,0,1,1
2026-04-15,Юг,Ноутбуки,Козлов,31516.52,1,4358.11,return,1,2026-04-13,1,1,0
2026-04-14,Сибирь,Планшеты,Козлов,104235.49,2,5197.81,return,1,2026-04-13,1,1,0
2026-05-16,Сибирь,Бытовая техника,Козлов,8106.73,2,1201.92,return,1,2026-05-11,1,1,0
2026-04-07,СПб,Смартфоны,Козлов,50967.5,2,2588.34,completed,0,2026-04-06,0,1,1
2026-06-11,Москва,Планшеты,Козлов,22888.09,3,2345.35,completed,0,2026-06-08,0,1,1
2026-05-09,СПб,Ноутбуки,Козлов,109800.99,3,4183.04,return,1,2026-05-04,1,1,0
2026-06-20,Урал,Бытовая техника,Козлов,118555.25,3,4447.57,completed,0,2026-06-15,0,1,1
2026-06-14,Урал,Смартфоны,Козлов,70253.0,2,85.34,completed,0,2026-06-08,0,1,1
2026-04-07,Урал,Бытовая техника,Козлов,109426.45,1,3295.84,completed,0,2026-04-06,0,1,1
2026-05-09,СПб,Бытовая техника,Козлов,19468.57,3,1068.17,completed,0,2026-05-04,0,1,1
2026-04-12,Юг,Смартфоны,Козлов,4628.48,2,467.13,return,1,2026-04-06,1,1,0
2026-06-22,Урал,Ноутбуки,Козлов,6827.81,2,973.53,completed,0,2026-06-22,0,1,1
2026-06-30,Москва,Наушники,Козлов,64552.01,2,4969.58,return,1,2026-06-29,1,1,0
2026-06-23,Москва,Смартфоны,Козлов,0.0,2,2448.35,cancel,1,2026-06-22,1,1,0
2026-06-22,Юг,ТВ,Козлов,119371.45,3,10840.6,return,1,2026-06-22,1,1,0
2026-04-22,Москва,Смартфоны,Козлов,10854.6,1,1212.33,return,1,2026-04-20,1,1,0
2026-04-30,Юг,Бытовая техника,Козлов,104773.94,1,2229.71,completed,0,2026-04-27,0,1,1
2026-06-28,Юг,Ноутбуки,Козлов,13735.65,2,934.67,completed,0,2026-06-22,0,1,1
2026-04-29,Юг,Наушники,Козлов,70363.82,2,1215.61,completed,0,2026-04-27,0,1,1
2026-06-13,СПб,Планшеты,Козлов,116045.36,3,16010.25,completed,0,2026-06-08,0,1,1
2026-05-12,Москва,Ноутбуки,Козлов,54095.28,3,3249.37,completed,0,2026-05-11,0,1,1
2026-05-22,Москва,Ноутбуки,Козлов,73480.68,2,8315.58,completed,0,2026-05-18,0,1,1
2026-05-30,Москва,Наушники,Козлов,20662.02,3,938.53,completed,0,2026-05-25,0,1,1
2026-05-03,Урал,Планшеты,Козлов,0.0,3,1793.7,cancel,1,2026-04-27,1,1,0
2026-05-05,Урал,Наушники,Козлов,46623.68,2,4747.91,completed,0,2026-05-04,0,1,1
2026-06-15,Урал,Бытовая техника,Козлов,110259.34,1,9841.33,completed,0,2026-06-15,0,1,1
2026-06-04,Юг,Ноутбуки,Козлов,100267.37,1,6179.36,completed,0,2026-06-01,0,1,1
2026-04-13,Юг,ТВ,Козлов,116441.87,1,9327.19,completed,0,2026-04-13,0,1,1
2026-04-22,Юг,Ноутбуки,Козлов,34916.58,1,4956.83,completed,0,2026-04-20,0,1,1
