date,region,category,manager,revenue,quantity,discount_amount,status,returns,week_start,is_return_or_cancel,is_application,is_sale
2026-06-22,Сибирь,Ноутбуки,Морозова,85755.11,3,3474.14,return,1,2026-06-22,1,1,0
2026-04-16,Сибирь,Наушники,Морозова,0.0,2,4526.75,cancel,1,2026-04-13,1,1,0
2026-06-27,Урал,Наушники,Морозова,80683.32,3,4160.32,completed,0,2026-06-22,0,1,1
2026-06-16,Юг,Планшеты,Морозова,35350.46,2,5199.23,return,1,2026-06-15,1,1,0
2026-06-05,Юг,Ноутбуки,Морозова,0.0,2,4916.03,cancel,1,2026-06-01,1,1,0
2026-06-24,СПб,ТВ,Морозова,11328.03,3,1366.0,return,1,2026-06-22,1,1,0
2026-06-10,Урал,Планшеты,Морозова,9977.65,2,657.26,completed,0,2026-06-08,0,1,1
2026-05-25,Сибирь,ТВ,Морозова,83575.32,3,6190.36,return,1,2026-05-25,1,1,0
2026-06-16,СПб,Наушники,Морозова,0.0,3,511.25,cancel,1,2026-06-15,1,1,0
2026-05-15,СПб,ТВ,Морозова,91918.89,1,12790.6,return,1,2026-05-11,1,1,0
2026-06-18,Москва,Ноутбуки,Морозова,60953.45,3,3035.43,completed,0,2026-06-15,0,1,1
2026-05-05,Сибирь,Смартфоны,Морозова,105280.27,2,242.37,completed,0,2026-05-04,0,1,1
2026-05-30,Урал,Бытовая техника,Морозова,79030.89,2,11310.98,return,1,2026-05-25,1,1,0
2026-06-21,Сибирь,ТВ,Морозова,81020.36,1,897.65,completed,0,2026-06-15,0,1,1
2026-04-10,Сибирь,Смартфоны,Морозова,39145.15,2,4300.25,completed,0,2026-04-06,0,1,1
2026-06-25,Урал,Планшеты,Морозова,0.0,2,13147.95,cancel,1,2026-06-22,1,1,0
2026-04-28,СПб,Ноутбуки,Морозова,0.0,2,399.07,cancel,1,2026-04-27,1,1,0
2026-06-18,Юг,Бытовая техника,Морозова,17764.42,3,1897.65,completed,0,2026-06-15,0,1,1
2026-04-23,Москва,Бытовая техника,Морозова,95792.24,3,12436.12,completed,0,2026-04-20,0,1,1
2026-05-31,Юг,Смартфоны,Морозова,97977.01,3,8254.81,completed,0,2026-05-25,0,1,1
2026-06-29,Юг,Планшеты,Морозова,101883.15,1,9306.95,return,1,2026-06-29,1,1,0
2026-05-13,Урал,Планшеты,Морозова,46296.21,1,6134.31,completed,0,2026-05-11,0,1,1
2026-04-06,Москва,ТВ,Морозова,43385.22,2,3429.17,completed,0,2026-04-06,0,1,1
2026-06-24,Москва,Планшеты,Морозова,11936.39,1,1622.02,completed,0,2026-06-22,0,1,1
2026-06-23,Юг,Бытовая техника,Морозова,0.0,2,7197.7,cancel,1,2026-06-22,1,1,0
2026-06-09,Сибирь,Наушники,Морозова,31986.02,3,2925.79,completed,0,2026-06-08,0,1,1
