date,region,category,manager,revenue,quantity,discount_amount,status,returns,week_start,is_return_or_cancel,is_application,is_sale
2026-04-05,Москва,ТВ,Козлов,100195.53,1,11279.16,completed,0,2026-03-30,0,1,1
2026-04-15,Москва,ТВ,Петров,95773.15,2,9938.2,return,1,2026-04-13,1,1,0
2026-04-06,Москва,Планшеты,Сидорова,35094.43,3,4969.84,completed,0,2026-04-06,0,1,1
2026-04-05,Москва,Планшеты,Сидорова,15002.75,2,1077.3,return,1,2026-03-30,1,1,0
2026-04-13,Москва,ТВ,Козлов,24570.55,1,3029.98,completed,0,2026-04-13,0,1,1
2026-05-01,Москва,Ноутбуки,Иванов,0.0,3,13077.45,cancel,1,2026-04-27,1,1,0
2026-04-05,Москва,Ноутбуки,Петров,0.0,2,11425.35,cancel,1,2026-03-30,1,1,0
2026-04-27,Москва,Ноутбуки,Сидорова,0.0,3,2458.79,cancel,1,2026-04-27,1,1,0
2026-04-02,Москва,Ноутбуки,Сидорова,41997.08,2,4369.84,return,1,2026-03-30,1,1,0
2026-04-29,Москва,Наушники,Иванов,119094.09,3,14865.5,completed,0,2026-04-27,0,1,1
2026-05-20,Москва,ТВ,Сидорова,0.0,3,2980.16,cancel,1,2026-05-18,1,1,0
2026-06-18,Москва,Ноутбуки,Морозова,60953.45,3,3035.43,completed,0,2026-06-15,0,1,1
2026-06-09,Москва,Планшеты,Иванов,105068.81,1,9947.3,return,1,2026-06-08,1,1,0
2026-04-17,Москва,Наушники,Иванов,119698.83,3,12638.24,completed,0,2026-04-13,0,1,1
2026-06-11,Москва,Планшеты,Козлов,22888.09,3,2345.35,completed,0,2026-06-08,0,1,1
2026-05-20,Москва,Ноутбуки,Иванов,78961.02,1,3604.94,completed,0,2026-05-18,0,1,1
2026-06-26,Москва,Ноутбуки,Иванов,80343.74,2,9520.55,completed,0,2026-06-22,0,1,1
2026-05-06,Москва,Ноутбуки,Сидорова,71895.79,1,1367.01,completed,0,2026-05-04,0,1,1
2026-06-30,Москва,Наушники,Козлов,64552.01,2,4969.58,return,1,2026-06-29,1,1,0
2026-06-23,Москва,Смартфоны,Козлов,0.0,2,2448.35,cancel,1,2026-06-22,1,1,0
2026-04-23,Москва,Бытовая техника,Морозова,95792.24,3,12436.12,completed,0,2026-04-20,0,1,1
2026-04-22,Москва,Смартфоны,Козлов,10854.6,1,1212.33,return,1,2026-04-20,1,1,0
2026-04-06,Москва,ТВ,Морозова,43385.22,2,3429.17,completed,0,2026-04-06,0,1,1
2026-04-10,Москва,Наушники,Иванов,11432.83,2,1579.72,completed,0,2026-04-06,0,1,1
2026-05-12,Москва,Ноутбуки,Козлов,54095.28,3,3249.37,completed,0,2026-05-11,0,1,1
2026-06-24,Москва,Планшеты,Морозова,11936.39,1,1622.02,completed,0,2026-06-22,0,1,1
2026-05-22,Москва,Ноутбуки,Козлов,73480.68,2,8315.58,completed,0,2026-05-18,0,1,1
2026-05-30,Москва,Наушники,Козлов,20662.02,3,938.53,completed,0,2026-05-25,0,1,1
2026-04-19,Москва,Планшеты,Морозова,12028.31,3,1594.38,completed,0,2026-04-13,0,1,1
2026-06-21,Москва,Бытовая техника,Морозова,67881.27,1,2902.57,completed,0,2026-06-15,0,1,1
2026-05-26,Москва,ТВ,Петров,30586.03,1,1462.1,completed,0,2026-05-25,0,1,1
2026-05-31,Москва,Бытовая техника,Морозова,72818.47,3,2642.63,return,1,2026-05-25,1,1,0
2026-06-08,Москва,Планшеты,Сидорова,37078.82,1,3173.93,completed,0,2026-06-08,0,1,1
2026-05-04,Москва,Планшеты,Сидорова,80731.44,1,11545.45,completed,0,2026-05-04,0,1,1
2026-06-28,Москва,Планшеты,Сидорова,31211.73,1,207.57,completed,0,2026-06-22,0,1,1
