date,region,category,manager,revenue,quantity,discount_amount,status,returns,week_start,is_return_or_cancel,is_application,is_sale
2026-04-19,СПб,Бытовая техника,Козлов,67955.62,3,7256.05,return,1,2026-04-13,1,1,0
2026-06-24,СПб,ТВ,Морозова,11328.03,3,1366.0,return,1,2026-06-22,1,1,0
2026-06-16,СПб,Наушники,Морозова,0.0,3,511.25,cancel,1,2026-06-15,1,1,0
2026-05-26,СПб,Планшеты,Сидорова,51349.97,3,5826.5,return,1,2026-05-25,1,1,0
2026-05-15,СПб,ТВ,Морозова,91918.89,1,12790.6,return,1,2026-05-11,1,1,0
2026-04-13,СПб,Смартфоны,Сидорова,0.0,2,4604.44,cancel,1,2026-04-13,1,1,0
2026-04-07,СПб,Смартфоны,Козлов,50967.5,2,2588.34,completed,0,2026-04-06,0,1,1
2026-05-09,СПб,Ноутбуки,Козлов,109800.99,3,4183.04,return,1,2026-05-04,1,1,0
2026-05-09,СПб,Бытовая техника,Козлов,19468.57,3,1068.17,completed,0,2026-05-04,0,1,1
2026-05-07,СПб,Планшеты,Петров,16586.1,2,1128.63,return,1,2026-05-04,1,1,0
2026-05-30,СПб,Наушники,Иванов,0.0,2,4805.58,cancel,1,2026-05-25,1,1,0
2026-05-17,СПб,Ноутбуки,Сидорова,0.0,1,3222.09,cancel,1,2026-05-11,1,1,0
2026-04-28,СПб,Ноутбуки,Морозова,0.0,2,399.07,cancel,1,2026-04-27,1,1,0
2026-06-28,СПб,Планшеты,Иванов,55884.63,3,6565.55,completed,0,2026-06-22,0,1,1
2026-06-09,СПб,Наушники,Сидорова,55831.93,2,3339.28,return,1,2026-06-08,1,1,0
2026-06-13,СПб,Планшеты,Козлов,116045.36,3,16010.25,completed,0,2026-06-08,0,1,1
2026-06-04,СПб,Ноутбуки,Иванов,44078.67,1,1692.41,completed,0,2026-06-01,0,1,1
2026-04-10,СПб,Бытовая техника,Козлов,84440.42,2,7794.04,return,1,2026-04-06,1,1,0
2026-05-21,СПб,Ноутбуки,Морозова,5223.45,3,477.07,completed,0,2026-05-18,0,1,1
2026-04-16,СПб,Бытовая техника,Козлов,0.0,3,3058.53,cancel,1,2026-04-13,1,1,0
2026-05-09,СПб,Планшеты,Сидорова,73487.04,2,1130.94,return,1,2026-05-04,1,1,0
2026-04-02,СПб,Планшеты,Козлов,114476.36,1,2167.55,completed,0,2026-03-30,0,1,1
2026-04-15,СПб,Планшеты,Сидорова,85372.42,3,11736.3,completed,0,2026-04-13,0,1,1
2026-06-21,СПб,Смартфоны,Козлов,26420.87,1,3561.58,return,1,2026-06-15,1,1,0
2026-06-05,СПб,Ноутбуки,Козлов,118260.51,1,6401.97,completed,0,2026-06-01,0,1,1
2026-06-10,СПб,ТВ,Морозова,40751.31,2,5170.94,completed,0,2026-06-08,0,1,1
2026-04-02,СПб,Планшеты,Морозова,0.0,1,357.75,cancel,1,2026-03-30,1,1,0
2026-06-13,СПб,Ноутбуки,Морозова,62137.0,2,453.52,return,1,2026-06-08,1,1,0
2026-06-29,СПб,Ноутбуки,Сидорова,74378.96,3,3330.31,completed,0,2026-06-29,0,1,1
2026-04-27,СПб,Бытовая техника,Козлов,93227.39,2,6709.62,completed,0,2026-04-27,0,1,1
2026-05-29,СПб,ТВ,Сидорова,58861.48,2,5702.78,return,1,2026-05-25,1,1,0
2026-04-17,СПб,Планшеты,Иванов,79318.95,1,4971.93,completed,0,2026-04-13,0,1,1
2026-06-11,СПб,Наушники,Сидорова,24619.4,1,25.22,completed,0,2026-06-08,0,1,1
2026-06-26,СПб,Смартфоны,Иванов,88159.4,2,6122.72,completed,0,2026-06-22,0,1,1
2026-06-14,СПб,Бытовая техника,Морозова,30717.77,1,1905.55,completed,0,2026-06-08,0,1,1
2026-05-24,СПб,Наушники,Иванов,38186.16,3,2363.79,completed,0,2026-05-18,0,1,1
2026-04-26,СПб,Наушники,Петров,68202.55,2,2080.21,return,1,2026-04-20,1,1,0
2026-04-08,СПб,Смартфоны,Сидорова,0.0,3,14595.96,cancel,1,2026-04-06,1,1,0
2026-05-23,СПб,Смартфоны,Петров,10952.25,3,749.15,completed,0,2026-05-18,0,1,1
2026-05-07,СПб,Планшеты,Петров,4832.0,3,594.99,completed,0,2026-05-04,0,1,1
2026-05-03,СПб,Бытовая техника,Иванов,0.0,3,4675.4,cancel,1,2026-04-27,1,1,0
2026-06-10,СПб,Наушники,Козлов,18503.32,3,1539.68,completed,0,2026-06-08,0,1,1
2026-05-02,СПб,Планшеты,Морозова,0.0,1,11195.59,cancel,1,2026-04-27,1,1,0
2026-05-23,СПб,Наушники,Сидорова,0.0,1,16469.87,cancel,1,2026-05-18,1,1,0
2026-05-21,СПб,Бытовая техника,Козлов,32563.76,2,361.29,completed,0,2026-05-18,0,1,1
2026-05-08,СПб,Бытовая техника,Сидорова,15796.22,1,1533.02,completed,0,2026-05-04,0,1,1
2026-06-03,СПб,ТВ,Сидорова,16580.11,2,1132.42,completed,0,2026-06-01,0,1,1
2026-05-09,СПб,Бытовая техника,Петров,82225.3,3,2151.67,completed,0,2026-05-04,0,1,1
2026-06-02,СПб,Планшеты,Петров,77353.69,2,3351.37,return,1,2026-06-01,1,1,0
2026-04-10,СПб,Ноутбуки,Петров,22419.85,1,1917.15,return,1,2026-04-06,1,1,0
2026-04-12,СПб,Наушники,Козлов,4904.92,1,729.73,return,1,2026-04-06,1,1,0
2026-05-25,СПб,Бытовая техника,Сидорова,26671.23,1,3498.29,return,1,2026-05-25,1,1,0
2026-05-05,СПб,Бытовая техника,Петров,19044.13,1,1515.46,completed,0,2026-05-04,0,1,1
2026-04-28,СПб,Наушники,Сидорова,74407.35,3,2377.93,completed,0,2026-04-27,0,1,1
2026-05-02,СПб,ТВ,Иванов,95555.97,1,7932.05,completed,0,2026-04-27,0,1,1
2026-06-20,СПб,Смартфоны,Иванов,39186.94,3,806.54,completed,0,2026-06-15,0,1,1
2026-05-03,СПб,ТВ,Морозова,3932.39,2,436.25,return,1,2026-04-27,1,1,0
2026-05-28,СПб,Наушники,Козлов,27007.74,1,3939.99,completed,0,2026-05-25,0,1,1
2026-06-24,СПб,Ноутбуки,Морозова,11738.43,1,273.64,completed,0,2026-06-22,0,1,1
2026-06-25,СПб,Смартфоны,Иванов,57059.06,1,7107.04,completed,0,2026-06-22,0,1,1
2026-06-18,СПб,Смартфоны,Сидорова,40308.68,1,4889.37,completed,0,2026-06-15,0,1,1
2026-06-22,СПб,Наушники,Иванов,66428.58,1,559.67,return,1,2026-06-22,1,1,0
2026-06-03,СПб,Смартфоны,Морозова,71633.27,2,10321.19,completed,0,2026-06-01,0,1,1
2026-06-15,СПб,Ноутбуки,Иванов,116743.29,2,1372.35,completed,0,2026-06-15,0,1,1
2026-06-11,СПб,Планшеты,Сидорова,26624.56,2,3637.47,return,1,2026-06-08,1,1,0
2026-04-18,СПб,Ноутбуки,Морозова,16164.7,3,1412.82,return,1,2026-04-13,1,1,0
2026-04-28,СПб,Ноутбуки,Сидорова,116782.11,3,7762.11,completed,0,2026-04-27,0,1,1
2026-04-15,СПб,Смартфоны,Петров,23327.27,1,1597.16,completed,0,2026-04-13,0,1,1
2026-06-12,СПб,ТВ,Козлов,82697.4,3,5533.74,completed,0,2026-06-08,0,1,1
2026-04-21,СПб,Бытовая техника,Петров,103282.01,2,10094.59,completed,0,2026-04-20,0,1,1
2026-04-24,СПб,Наушники,Сидорова,56702.77,3,4428.24,completed,0,2026-04-20,0,1,1
2026-05-20,СПб,Планшеты,Иванов,0.0,3,648.78,cancel,1,2026-05-18,1,1,0
2026-04-06,СПб,Ноутбуки,Петров,51333.55,2,3150.79,completed,0,2026-04-06,0,1,1
2026-04-30,СПб,ТВ,Иванов,60046.96,1,4071.66,completed,0,2026-04-27,0,1,1
2026-04-27,СПб,Планшеты,Петров,92059.61,2,10842.93,completed,0,2026-04-27,0,1,1
2026-06-25,СПб,Ноутбуки,Козлов,45032.35,1,1542.93,return,1,2026-06-22,1,1,0
2026-04-05,СПб,Бытовая техника,Петров,4131.66,2,221.58,completed,0,2026-03-30,0,1,1
2026-04-24,СПб,Смартфоны,Петров,96588.19,3,10524.41,return,1,2026-04-20,1,1,0
2026-05-27,СПб,Наушники,Сидорова,53643.21,3,5441.8,completed,0,2026-05-25,0,1,1
2026-06-18,СПб,Смартфоны,Козлов,50183.41,2,6031.5,return,1,2026-06-15,1,1,0
2026-04-07,СПб,Наушники,Петров,8356.04,3,930.67,completed,0,2026-04-06,0,1,1
2026-05-27,СПб,Бытовая техника,Сидорова,28223.97,1,3205.46,return,1,2026-05-25,1,1,0
2026-06-26,СПб,ТВ,Козлов,117601.59,2,17119.7,return,1,2026-06-22,1,1,0
2026-04-27,СПб,Наушники,Морозова,97161.23,3,12919.09,return,1,2026-04-27,1,1,0
2026-06-20,СПб,ТВ,Сидорова,26388.58,1,3322.51,completed,0,2026-06-15,0,1,1
2026-05-11,СПб,Бытовая техника,Иванов,37418.79,1,5402.2,completed,0,2026-05-11,0,1,1
2026-06-30,СПб,Планшеты,Иванов,64471.22,3,1541.22,completed,0,2026-06-29,0,1,1
2026-06-11,СПб,Планшеты,Морозова,45213.35,2,6759.15,completed,0,2026-06-08,0,1,1
2026-06-27,СПб,Бытовая техника,Козлов,27661.43,1,852.99,completed,0,2026-06-22,0,1,1
2026-06-15,СПб,Бытовая техника,Морозова,25736.17,1,3286.72,completed,0,2026-06-15,0,1,1
2026-05-08,СПб,Ноутбуки,Морозова,0.0,3,1921.2,cancel,1,2026-05-04,1,1,0
