date,region,category,manager,revenue,quantity,discount_amount,status,returns,week_start,is_return_or_cancel,is_application,is_sale
2026-05-03,Урал,ТВ,Сидорова,60043.34,2,7928.6,completed,0,2026-04-27,0,1,1
2026-06-27,Урал,Наушники,Морозова,80683.32,3,4160.32,completed,0,2026-06-22,0,1,1
2026-05-26,Урал,Ноутбуки,Сидорова,37660.84,1,3999.69,completed,0,2026-05-25,0,1,1
2026-06-10,Урал,Планшеты,Морозова,9977.65,2,657.26,completed,0,2026-06-08,0,1,1
2026-04-21,Урал,Планшеты,Иванов,86044.59,3,5265.81,completed,0,2026-04-20,0,1,1
2026-05-15,Урал,Планшеты,Сидорова,112120.41,2,14038.44,return,1,2026-05-11,1,1,0
2026-05-17,Урал,Ноутбуки,Петров,0.0,3,2707.62,cancel,1,2026-05-11,1,1,0
2026-05-30,Урал,Бытовая техника,Морозова,79030.89,2,11310.98,return,1,2026-05-25,1,1,0
2026-05-20,Урал,Смартфоны,Иванов,54910.39,2,6557.48,completed,0,2026-05-18,0,1,1
2026-06-20,Урал,Бытовая техника,Козлов,118555.25,3,4447.57,completed,0,2026-06-15,0,1,1
2026-06-14,Урал,Смартфоны,Козлов,70253.0,2,85.34,completed,0,2026-06-08,0,1,1
2026-04-07,Урал,Бытовая техника,Козлов,109426.45,1,3295.84,completed,0,2026-04-06,0,1,1
2026-06-25,Урал,Планшеты,Морозова,0.0,2,13147.95,cancel,1,2026-06-22,1,1,0
2026-05-01,Урал,Смартфоны,Петров,71393.53,2,267.99,completed,0,2026-04-27,0,1,1
2026-06-22,Урал,Ноутбуки,Козлов,6827.81,2,973.53,completed,0,2026-06-22,0,1,1
2026-05-18,Урал,Планшеты,Сидорова,14624.49,1,873.39,completed,0,2026-05-18,0,1,1
2026-05-19,Урал,Ноутбуки,Петров,8917.69,3,274.49,completed,0,2026-05-18,0,1,1
2026-05-03,Урал,Бытовая техника,Сидорова,39568.16,2,5659.79,completed,0,2026-04-27,0,1,1
2026-06-12,Урал,Бытовая техника,Сидорова,6387.52,2,336.33,completed,0,2026-06-08,0,1,1
2026-05-13,Урал,Планшеты,Морозова,46296.21,1,6134.31,completed,0,2026-05-11,0,1,1
2026-05-23,Урал,ТВ,Сидорова,92779.89,1,107.58,completed,0,2026-05-18,0,1,1
2026-04-29,Урал,Бытовая техника,Сидорова,49304.7,1,2463.28,completed,0,2026-04-27,0,1,1
2026-04-20,Урал,Планшеты,Иванов,72196.11,2,5000.4,completed,0,2026-04-20,0,1,1
2026-05-05,Урал,Смартфоны,Иванов,9656.14,3,860.48,completed,0,2026-05-04,0,1,1
2026-05-03,Урал,Планшеты,Козлов,0.0,3,1793.7,cancel,1,2026-04-27,1,1,0
2026-06-12,Урал,Бытовая техника,Иванов,55711.2,3,5399.48,completed,0,2026-06-08,0,1,1
2026-05-05,Урал,Наушники,Козлов,46623.68,2,4747.91,completed,0,2026-05-04,0,1,1
2026-06-15,Урал,Смартфоны,Сидорова,95339.55,1,7979.39,completed,0,2026-06-15,0,1,1
2026-06-15,Урал,Бытовая техника,Козлов,110259.34,1,9841.33,completed,0,2026-06-15,0,1,1
2026-04-30,Урал,Наушники,Петров,114286.81,1,17142.62,completed,0,2026-04-27,0,1,1
2026-04-16,Урал,Наушники,Морозова,57016.56,3,3580.59,return,1,2026-04-13,1,1,0
2026-06-28,Урал,Смартфоны,Козлов,98554.28,1,5860.84,completed,0,2026-06-22,0,1,1
2026-06-17,Урал,Ноутбуки,Петров,101183.63,1,4354.12,completed,0,2026-06-15,0,1,1
2026-05-20,Урал,Ноутбуки,Сидорова,16008.86,1,114.66,return,1,2026-05-18,1,1,0
2026-04-03,Урал,ТВ,Иванов,77373.48,2,9151.58,completed,0,2026-03-30,0,1,1
2026-06-23,Урал,ТВ,Иванов,104298.4,2,6836.0,completed,0,2026-06-22,0,1,1
2026-05-27,Урал,Наушники,Морозова,80327.55,3,5134.33,completed,0,2026-05-25,0,1,1
2026-05-05,Урал,ТВ,Козлов,94086.3,3,457.05,completed,0,2026-05-04,0,1,1
2026-06-05,Урал,ТВ,Козлов,82450.26,1,7098.0,completed,0,2026-06-01,0,1,1
2026-04-24,Урал,Бытовая техника,Сидорова,0.0,1,6617.96,cancel,1,2026-04-20,1,1,0
2026-05-10,Урал,Бытовая техника,Сидорова,119679.7,3,1165.78,return,1,2026-05-04,1,1,0
2026-06-22,Урал,Ноутбуки,Петров,0.0,2,2821.49,cancel,1,2026-06-22,1,1,0
2026-04-21,Урал,Бытовая техника,Иванов,17663.23,2,1234.22,completed,0,2026-04-20,0,1,1
2026-04-16,Урал,Планшеты,Петров,57339.73,2,7409.6,return,1,2026-04-13,1,1,0
2026-05-18,Урал,Наушники,Петров,88901.37,2,6867.37,completed,0,2026-05-18,0,1,1
2026-04-12,Урал,Бытовая техника,Сидорова,18670.39,2,1024.83,return,1,2026-04-06,1,1,0
2026-06-10,Урал,Планшеты,Сидорова,109718.53,3,12705.24,return,1,2026-06-08,1,1,0
2026-05-11,Урал,ТВ,Иванов,0.0,3,11391.91,cancel,1,2026-05-11,1,1,0
2026-06-24,Урал,Планшеты,Сидорова,99870.35,1,1636.27,completed,0,2026-06-22,0,1,1
2026-05-28,Урал,Бытовая техника,Козлов,14723.16,1,1504.39,completed,0,2026-05-25,0,1,1
2026-05-01,Урал,ТВ,Сидорова,30555.99,3,3313.26,return,1,2026-04-27,1,1,0
2026-06-16,Урал,Бытовая техника,Петров,33601.72,1,3365.81,completed,0,2026-06-15,0,1,1
2026-04-02,Урал,ТВ,Морозова,77729.23,1,2554.9,completed,0,2026-03-30,0,1,1
2026-05-01,Урал,Планшеты,Козлов,0.0,1,2095.25,cancel,1,2026-04-27,1,1,0
2026-05-07,Урал,Смартфоны,Петров,0.0,3,1094.26,cancel,1,2026-05-04,1,1,0
2026-06-14,Урал,Ноутбуки,Морозова,19395.86,2,1680.09,completed,0,2026-06-08,0,1,1
2026-05-03,Урал,Бытовая техника,Козлов,0.0,3,2915.83,cancel,1,2026-04-27,1,1,0
2026-06-01,Урал,Наушники,Петров,50766.32,3,3605.82,return,1,2026-06-01,1,1,0
2026-04-14,Урал,Смартфоны,Морозова,110900.45,3,13797.23,completed,0,2026-04-13,0,1,1
2026-05-26,Урал,Наушники,Козлов,0.0,3,3953.53,cancel,1,2026-05-25,1,1,0
2026-05-31,Урал,Ноутбуки,Сидорова,92110.59,2,5719.1,return,1,2026-05-25,1,1,0
2026-06-27,Урал,Ноутбуки,Петров,0.0,2,3010.07,cancel,1,2026-06-22,1,1,0
2026-04-19,Урал,Планшеты,Иванов,101903.59,3,14049.74,return,1,2026-04-13,1,1,0
2026-06-11,Урал,Планшеты,Козлов,60400.6,2,1682.8,return,1,2026-06-08,1,1,0
2026-04-23,Урал,ТВ,Козлов,19244.29,1,182.63,completed,0,2026-04-20,0,1,1
2026-05-24,Урал,Наушники,Иванов,35287.54,2,1332.28,return,1,2026-05-18,1,1,0
2026-05-30,Урал,Бытовая техника,Морозова,95514.35,3,9143.31,completed,0,2026-05-25,0,1,1
2026-04-21,Урал,Наушники,Иванов,63970.44,2,6927.94,completed,0,2026-04-20,0,1,1
2026-04-26,Урал,Смартфоны,Иванов,40312.41,1,5134.87,return,1,2026-04-20,1,1,0
2026-04-09,Урал,Планшеты,Морозова,75231.43,1,7584.57,return,1,2026-04-06,1,1,0
2026-04-08,Урал,Смартфоны,Петров,16789.81,2,1746.4,completed,0,2026-04-06,0,1,1
2026-04-09,Урал,Ноутбуки,Морозова,37174.52,2,937.96,completed,0,2026-04-06,0,1,1
2026-04-12,Урал,Планшеты,Иванов,93688.22,3,6202.63,completed,0,2026-04-06,0,1,1
2026-04-10,Урал,Смартфоны,Козлов,55618.68,1,6470.94,completed,0,2026-04-06,0,1,1
2026-05-23,Урал,Бытовая техника,Петров,110495.94,3,14354.73,return,1,2026-05-18,1,1,0
2026-04-17,Урал,Ноутбуки,Козлов,20110.48,2,428.87,completed,0,2026-04-13,0,1,1
2026-05-03,Урал,Бытовая техника,Сидорова,50133.54,2,7145.94,completed,0,2026-04-27,0,1,1
2026-04-07,Урал,ТВ,Морозова,34418.81,3,674.23,return,1,2026-04-06,1,1,0
2026-06-25,Урал,ТВ,Иванов,13920.78,2,1387.57,completed,0,2026-06-22,0,1,1
2026-06-15,Урал,Бытовая техника,Петров,9059.11,2,890.72,completed,0,2026-06-15,0,1,1
2026-06-07,Урал,Смартфоны,Козлов,4086.57,3,81.02,return,1,2026-06-01,1,1,0
2026-05-05,Урал,Бытовая техника,Иванов,0.0,3,11479.21,cancel,1,2026-05-04,1,1,0
2026-06-13,Урал,Планшеты,Морозова,22168.42,3,862.06,completed,0,2026-06-08,0,1,1
2026-04-14,Урал,Бытовая техника,Иванов,17850.88,1,897.04,completed,0,2026-04-13,0,1,1
2026-04-18,Урал,ТВ,Иванов,110155.01,3,6160.0,return,1,2026-04-13,1,1,0
2026-06-19,Урал,Наушники,Сидорова,37126.09,2,2521.37,completed,0,2026-06-15,0,1,1
2026-06-08,Урал,Наушники,Иванов,55599.31,3,2988.08,completed,0,2026-06-08,0,1,1
