date,region,category,manager,revenue,quantity,discount_amount,status,returns,week_start,is_return_or_cancel,is_application,is_sale
2026-04-30,Юг,Ноутбуки,Иванов,68027.55,1,7347.74,completed,0,2026-04-27,0,1,1
2026-04-13,Юг,Бытовая техника,Петров,39919.11,1,1295.68,completed,0,2026-04-13,0,1,1
2026-06-16,Юг,Планшеты,Морозова,35350.46,2,5199.23,return,1,2026-06-15,1,1,0
2026-04-29,Юг,Бытовая техника,Иванов,60534.35,1,1354.74,return,1,2026-04-27,1,1,0
2026-06-05,Юг,Ноутбуки,Морозова,0.0,2,4916.03,cancel,1,2026-06-01,1,1,0
2026-06-18,Юг,Наушники,Сидорова,37790.32,3,3520.32,return,1,2026-06-15,1,1,0
2026-06-12,Юг,Смартфоны,Петров,31064.23,1,1903.54,completed,0,2026-06-08,0,1,1
2026-06-30,Юг,Ноутбуки,Петров,52741.26,2,6539.64,completed,0,2026-06-29,0,1,1
2026-05-29,Юг,Планшеты,Иванов,29784.16,3,3669.8,completed,0,2026-05-25,0,1,1
2026-05-07,Юг,Наушники,Козлов,24234.23,1,1708.55,completed,0,2026-05-04,0,1,1
2026-04-15,Юг,Ноутбуки,Козлов,31516.52,1,4358.11,return,1,2026-04-13,1,1,0
2026-07-01,Юг,ТВ,Петров,77484.29,3,1129.3,completed,0,2026-06-29,0,1,1
2026-04-12,Юг,Смартфоны,Козлов,4628.48,2,467.13,return,1,2026-04-06,1,1,0
2026-04-14,Юг,Ноутбуки,Иванов,0.0,3,5113.27,cancel,1,2026-04-13,1,1,0
2026-06-18,Юг,Бытовая техника,Морозова,17764.42,3,1897.65,completed,0,2026-06-15,0,1,1
2026-06-22,Юг,ТВ,Козлов,119371.45,3,10840.6,return,1,2026-06-22,1,1,0
2026-05-31,Юг,Смартфоны,Морозова,97977.01,3,8254.81,completed,0,2026-05-25,0,1,1
2026-05-06,Юг,Ноутбуки,Петров,15121.27,3,1093.7,completed,0,2026-05-04,0,1,1
2026-06-22,Юг,ТВ,Иванов,43963.34,2,3785.9,completed,0,2026-06-22,0,1,1
2026-06-29,Юг,Планшеты,Морозова,101883.15,1,9306.95,return,1,2026-06-29,1,1,0
2026-04-30,Юг,Бытовая техника,Козлов,104773.94,1,2229.71,completed,0,2026-04-27,0,1,1
2026-06-28,Юг,Ноутбуки,Козлов,13735.65,2,934.67,completed,0,2026-06-22,0,1,1
2026-04-09,Юг,Смартфоны,Иванов,21416.96,2,1423.52,completed,0,2026-04-06,0,1,1
2026-04-29,Юг,Наушники,Козлов,70363.82,2,1215.61,completed,0,2026-04-27,0,1,1
2026-06-23,Юг,Бытовая техника,Морозова,0.0,2,7197.7,cancel,1,2026-06-22,1,1,0
2026-04-19,Юг,Бытовая техника,Иванов,57137.26,2,7791.09,return,1,2026-04-13,1,1,0
2026-05-26,Юг,Ноутбуки,Сидорова,36245.2,1,3168.23,return,1,2026-05-25,1,1,0
2026-06-06,Юг,Ноутбуки,Морозова,80445.72,2,1861.35,completed,0,2026-06-01,0,1,1
2026-06-04,Юг,Ноутбуки,Козлов,100267.37,1,6179.36,completed,0,2026-06-01,0,1,1
2026-04-13,Юг,ТВ,Козлов,116441.87,1,9327.19,completed,0,2026-04-13,0,1,1
2026-04-21,Юг,Ноутбуки,Сидорова,98576.28,1,9480.76,completed,0,2026-04-20,0,1,1
2026-04-22,Юг,Ноутбуки,Козлов,34916.58,1,4956.83,completed,0,2026-04-20,0,1,1
2026-06-17,Юг,Наушники,Иванов,77757.35,1,9758.79,return,1,2026-06-15,1,1,0
2026-06-11,Юг,Планшеты,Иванов,0.0,2,8168.79,cancel,1,2026-06-08,1,1,0
2026-04-16,Юг,ТВ,Иванов,111144.32,3,7077.11,completed,0,2026-04-13,0,1,1
2026-06-18,Юг,Ноутбуки,Морозова,0.0,1,455.27,cancel,1,2026-06-15,1,1,0
2026-05-19,Юг,Бытовая техника,Морозова,0.0,1,4987.69,cancel,1,2026-05-18,1,1,0
2026-06-08,Юг,ТВ,Петров,25967.32,3,1179.53,completed,0,2026-06-08,0,1,1
2026-06-17,Юг,ТВ,Морозова,0.0,1,10808.21,cancel,1,2026-06-15,1,1,0
2026-05-13,Юг,ТВ,Петров,12503.07,3,781.29,completed,0,2026-05-11,0,1,1
2026-06-03,Юг,ТВ,Сидорова,61270.45,2,2250.57,completed,0,2026-06-01,0,1,1
2026-04-09,Юг,Бытовая техника,Сидорова,98176.91,1,11238.13,completed,0,2026-04-06,0,1,1
2026-06-03,Юг,Ноутбуки,Сидорова,8985.45,3,388.98,return,1,2026-06-01,1,1,0
