date,region,category,manager,revenue,quantity,discount_amount,status,returns,week_start,is_return_or_cancel,is_application,is_sale
2026-06-22,Сибирь,Ноутбуки,Морозова,85755.11,3,3474.14,return,1,2026-06-22,1,1,0
2026-04-16,Сибирь,Наушники,Морозова,0.0,2,4526.75,cancel,1,2026-04-13,1,1,0
2026-04-05,Москва,ТВ,Козлов,100195.53,1,11279.16,completed,0,2026-03-30,0,1,1
2026-05-07,Сибирь,ТВ,Иванов,0.0,2,9497.76,cancel,1,2026-05-04,1,1,0
2026-05-03,Урал,ТВ,Сидорова,60043.34,2,7928.6,completed,0,2026-04-27,0,1,1
2026-04-30,Юг,Ноутбуки,Иванов,68027.55,1,7347.74,completed,0,2026-04-27,0,1,1
2026-04-19,СПб,Бытовая техника,Козлов,67955.62,3,7256.05,return,1,2026-04-13,1,1,0
2026-04-15,Москва,ТВ,Петров,95773.15,2,9938.2,return,1,2026-04-13,1,1,0
2026-06-27,Урал,Наушники,Морозова,80683.32,3,4160.32,completed,0,2026-06-22,0,1,1
2026-06-10,Сибирь,ТВ,Сидорова,0.0,2,1442.1,cancel,1,2026-06-08,1,1,0
2026-04-13,Юг,Бытовая техника,Петров,39919.11,1,1295.68,completed,0,2026-04-13,0,1,1
2026-06-16,Юг,Планшеты,Морозова,35350.46,2,5199.23,return,1,2026-06-15,1,1,0
2026-05-26,Урал,Ноутбуки,Сидорова,37660.84,1,3999.69,completed,0,2026-05-25,0,1,1
2026-04-06,Москва,Планшеты,Сидорова,35094.43,3,4969.84,completed,0,2026-04-06,0,1,1
2026-04-05,Москва,Планшеты,Сидорова,15002.75,2,1077.3,return,1,2026-03-30,1,1,0
2026-04-13,Москва,ТВ,Козлов,24570.55,1,3029.98,completed,0,2026-04-13,0,1,1
2026-04-29,Юг,Бытовая техника,Иванов,60534.35,1,1354.74,return,1,2026-04-27,1,1,0
2026-05-01,Москва,Ноутбуки,Иванов,0.0,3,13077.45,cancel,1,2026-04-27,1,1,0
2026-06-05,Юг,Ноутбуки,Морозова,0.0,2,4916.03,cancel,1,2026-06-01,1,1,0
2026-06-18,Юг,Наушники,Сидорова,37790.32,3,3520.32,return,1,2026-06-15,1,1,0
2026-04-05,Москва,Ноутбуки,Петров,0.0,2,11425.35,cancel,1,2026-03-30,1,1,0
2026-06-12,Юг,Смартфоны,Петров,31064.23,1,1903.54,completed,0,2026-06-08,0,1,1
2026-04-27,Москва,Ноутбуки,Сидорова,0.0,3,2458.79,cancel,1,2026-04-27,1,1,0
2026-06-24,СПб,ТВ,Морозова,11328.03,3,1366.0,return,1,2026-06-22,1,1,0
2026-06-30,Юг,Ноутбуки,Петров,52741.26,2,6539.64,completed,0,2026-06-29,0,1,1
2026-06-10,Урал,Планшеты,Морозова,9977.65,2,657.26,completed,0,2026-06-08,0,1,1
